Month,State,Brand,Customers,Value,Age Group,Gender,VIP Band
Jul-19,SA,Orange,220,"104,476",18-24,F,Group B
Jul-19,SA,Orange,73,"13,734",18-24,F,Group C
Jul-19,SA,Orange,639,"106,346",18-24,M,Group A
Jul-19,SA,Orange,265,"99,383",18-24,M,Group B
Jul-19,SA,Orange,26,"1,956",18-24,M,Group C
Jul-19,SA,Orange,107,"72,749",18-24,M,Group D
Jul-19,SA,Orange,80,"259,312",18-24,M,Group E
Jul-19,SA,Orange,256,"20,895",25-34,F,Group A
Jul-19,SA,Orange,73,"74,802",25-34,F,Group B
Jul-19,SA,Orange,73,"105,501",25-34,F,Group C
Jul-19,SA,Orange,36,"13,464",25-34,F,Group D
Jul-19,SA,Orange,36,"67,640",25-34,F,Group E
Jul-19,SA,Orange,"1,117","132,667",25-34,M,Group A
Jul-19,SA,Orange,320,"116,905",25-34,M,Group B
Jul-19,SA,Orange,159,"140,920",25-34,M,Group C
Jul-19,SA,Orange,187,"483,893",25-34,M,Group D
Jul-19,SA,Orange,107,"1,172,460",25-34,M,Group E
Jul-19,SA,Orange,258,"13,769",35-44,F,Group A
Jul-19,SA,Orange,52,"3,042",35-44,F,Group B
Jul-19,SA,Orange,734,"67,046",35-44,M,Group A
Jul-19,SA,Orange,78,"59,496",35-44,M,Group B
Jul-19,SA,Orange,154,"137,274",35-44,M,Group C
Jul-19,SA,Orange,154,"396,435",35-44,M,Group D
Jul-19,SA,Orange,38,"193,023",35-44,M,Group E
Jul-19,SA,Orange,620,"90,150",45-54,F,Group A
Jul-19,SA,Orange,104,"421,312",45-54,F,Group E
Jul-19,SA,Orange,78,"10,218",45-54,M,Group A
Jul-19,SA,Orange,38,398,45-54,M,Group B
Jul-19,SA,Orange,436,"65,273",55-64,M,Group A
Jul-19,SA,Orange,125,"49,435",55-64,M,Group B
Jul-19,SA,Orange,62,"347,883",55-64,M,Group D
Jul-19,SA,Orange,942,"53,611",65+,F,Group A
Jul-19,SA,Orange,66,"4,946",65+,F,Group B
Jul-19,SA,Orange,66,"138,181",65+,F,Group C
Jul-19,SA,Orange,270,"641,745",65+,F,Group D
Jul-19,SA,Orange,66,"6,925",65+,F,Group E
Jul-19,SA,Orange,"1,555","120,660",65+,M,Group A
Jul-19,SA,Orange,62,"6,409",65+,M,Group B
Jul-19,SA,Orange,62,"1,830",65+,M,Group C
Jul-19,SA,Orange,125,"140,525",65+,M,Group D
Jul-19,SA,Orange,62,"4,576",65+,M,Group E
Jul-19,SA,Pear,220,"31,504",18-24,F,Group A
Jul-19,SA,Pear,73,"138,513",18-24,F,Group C
Jul-19,SA,Pear,36,"146,105",18-24,F,Group D
Jul-19,SA,Pear,452,"41,262",18-24,M,Group A
Jul-19,SA,Pear,159,"23,310",18-24,M,Group B
Jul-19,SA,Pear,52,"56,790",18-24,M,Group C
Jul-19,SA,Pear,107,"136,266",18-24,M,Group D
Jul-19,SA,Pear,26,"3,911",18-24,M,Group E
Jul-19,SA,Pear,294,"12,548",25-34,F,Group A
Jul-19,SA,Pear,73,"87,243",25-34,F,Group B
Jul-19,SA,Pear,36,"22,081",25-34,F,Group C
Jul-19,SA,Pear,36,"154,183",25-34,F,Group E
Jul-19,SA,Pear,772,"127,622",25-34,M,Group A
Jul-19,SA,Pear,346,"185,000",25-34,M,Group B
Jul-19,SA,Pear,239,"305,543",25-34,M,Group C
Jul-19,SA,Pear,239,"550,149",25-34,M,Group D
Jul-19,SA,Pear,80,"249,653",25-34,M,Group E
Jul-19,SA,Pear,206,"11,868",35-44,F,Group A
Jul-19,SA,Pear,52,"62,764",35-44,F,Group B
Jul-19,SA,Pear,52,"85,815",35-44,F,Group C
Jul-19,SA,Pear,"1,042","129,040",35-44,M,Group A
Jul-19,SA,Pear,116,"66,140",35-44,M,Group B
Jul-19,SA,Pear,194,"121,434",35-44,M,Group C
Jul-19,SA,Pear,154,"427,659",35-44,M,Group D
Jul-19,SA,Pear,38,"271,537",35-44,M,Group E
Jul-19,SA,Pear,206,"43,365",45-54,F,Group A
Jul-19,SA,Pear,502,"77,664",45-54,M,Group A
Jul-19,SA,Pear,78,"83,228",45-54,M,Group C
Jul-19,SA,Pear,310,"41,655",55-64,M,Group A
Jul-19,SA,Pear,374,"50,808",55-64,M,Group B
Jul-19,SA,Pear,62,"105,738",55-64,M,Group C
Jul-19,SA,Pear,62,"308,974",55-64,M,Group D
Jul-19,SA,Pear,672,"119,784",65+,F,Group A
Jul-19,SA,Pear,201,"63,107",65+,F,Group B
Jul-19,SA,Pear,66,"4,946",65+,F,Group C
Jul-19,SA,Pear,270,"648,275",65+,F,Group D
Jul-19,SA,Pear,66,"40,159",65+,F,Group E
Jul-19,SA,Pear,249,"40,282",65+,M,Group A
Jul-19,SA,Pear,187,"198,932",65+,M,Group B
Jul-19,SA,Pear,62,916,65+,M,Group C
Jul-19,SA,Pear,125,"184,377",65+,M,Group D
Jul-19,SA,Pear,249,"1,316,825",65+,M,Group E
Jul-19,SA,Banana,147,"32,259",18-24,F,Group A
Jul-19,SA,Banana,109,"43,244",18-24,F,Group B
Jul-19,SA,Banana,36,"24,233",18-24,F,Group C
Jul-19,SA,Banana,73,"109,646",18-24,F,Group D
Jul-19,SA,Banana,239,"13,416",18-24,M,Group A
Jul-19,SA,Banana,26,"2,933",18-24,M,Group B
Jul-19,SA,Banana,107,"104,741",18-24,M,Group C
Jul-19,SA,Banana,52,"60,036",18-24,M,Group D
Jul-19,SA,Banana,26,"104,741",18-24,M,Group E
Jul-19,SA,Banana,73,"4,309",25-34,F,Group A
Jul-19,SA,Banana,36,"79,004",25-34,F,Group E
Jul-19,SA,Banana,400,"62,070",25-34,M,Group A
Jul-19,SA,Banana,213,"85,617",25-34,M,Group B
Jul-19,SA,Banana,80,"70,832",25-34,M,Group C
Jul-19,SA,Banana,52,"3,911",25-34,M,Group D
Jul-19,SA,Banana,80,"2,253,046",25-34,M,Group E
Jul-19,SA,Banana,104,"7,988",35-44,F,Group A
Jul-19,SA,Banana,232,"43,147",35-44,M,Group A
Jul-19,SA,Banana,78,"1,986",35-44,M,Group B
Jul-19,SA,Banana,38,"21,345",35-44,M,Group C
Jul-19,SA,Banana,78,"204,946",35-44,M,Group D
Jul-19,SA,Banana,78,"297,596",35-44,M,Group E
Jul-19,SA,Banana,52,760,45-54,F,Group A
Jul-19,SA,Banana,52,"169,195",45-54,F,Group D
Jul-19,SA,Banana,52,"380,383",45-54,F,Group E
Jul-19,SA,Banana,116,"32,418",45-54,M,Group A
Jul-19,SA,Banana,78,"130,290",45-54,M,Group C
Jul-19,SA,Banana,78,"113,202",45-54,M,Group D
Jul-19,SA,Banana,125,"49,435",55-64,M,Group B
Jul-19,SA,Banana,62,"149,772",55-64,M,Group C
Jul-19,SA,Banana,336,"42,335",65+,F,Group A
Jul-19,SA,Banana,270,"127,499",65+,F,Group B
Jul-19,SA,Banana,436,"45,865",65+,M,Group A
Jul-19,SA,Banana,125,"52,091",65+,M,Group B
Jul-19,SA,Banana,62,"10,528",65+,M,Group C
Jul-19,SA,Banana,125,"64,998",65+,M,Group E
Jul-19,SA,Strawberry,36,"1,399",18-24,F,Group C
Jul-19,SA,Strawberry,109,"194,467",18-24,F,Group D
Jul-19,SA,Strawberry,52,"9,818",18-24,M,Group A
Jul-19,SA,Strawberry,52,"13,101",18-24,M,Group B
Jul-19,SA,Strawberry,80,"75,839",18-24,M,Group C
Jul-19,SA,Strawberry,52,"18,343",18-24,M,Group D
Jul-19,SA,Strawberry,26,391,18-24,M,Group E
Jul-19,SA,Strawberry,36,"2,746",25-34,F,Group B
Jul-19,SA,Strawberry,36,"42,437",25-34,F,Group C
Jul-19,SA,Strawberry,80,"8,606",25-34,M,Group A
Jul-19,SA,Strawberry,159,"78,538",25-34,M,Group B
Jul-19,SA,Strawberry,80,"86,085",25-34,M,Group C
Jul-19,SA,Strawberry,80,"52,605",25-34,M,Group D
Jul-19,SA,Strawberry,52,"236,198",25-34,M,Group E
Jul-19,SA,Strawberry,194,"21,913",35-44,M,Group A
Jul-19,SA,Strawberry,38,"41,783",35-44,M,Group B
Jul-19,SA,Strawberry,78,"84,703",35-44,M,Group C
Jul-19,SA,Strawberry,38,"299,128",35-44,M,Group E
Jul-19,SA,Strawberry,38,"2,043",45-54,M,Group C
Jul-19,SA,Strawberry,38,"52,231",45-54,M,Group D
Jul-19,SA,Strawberry,187,"55,569",55-64,M,Group A
Jul-19,SA,Strawberry,66,"3,956",65+,F,Group A
Jul-19,SA,Strawberry,187,"132,378",65+,M,Group B
Jul-19,SA,Melon,"2,453","253,005",18-24,F,Group A
Jul-19,SA,Melon,329,"196,889",18-24,F,Group B
Jul-19,SA,Melon,147,"201,307",18-24,F,Group C
Jul-19,SA,Melon,220,"476,606",18-24,F,Group D
Jul-19,SA,Melon,"2,607","386,974",18-24,M,Group A
Jul-19,SA,Melon,478,"370,781",18-24,M,Group B
Jul-19,SA,Melon,213,"302,923",18-24,M,Group C
Jul-19,SA,Melon,133,"366,127",18-24,M,Group D
Jul-19,SA,Melon,107,"566,067",18-24,M,Group E
Jul-19,SA,Melon,"2,197","238,519",25-34,F,Group A
Jul-19,SA,Melon,109,"87,889",25-34,F,Group B
Jul-19,SA,Melon,73,"60,048",25-34,F,Group C
Jul-19,SA,Melon,36,"140,236",25-34,F,Group D
Jul-19,SA,Melon,36,"288,010",25-34,F,Group E
Jul-19,SA,Melon,"5,000","632,754",25-34,M,Group A
Jul-19,SA,Melon,904,"669,755",25-34,M,Group B
Jul-19,SA,Melon,639,"939,588",25-34,M,Group C
Jul-19,SA,Melon,426,"1,154,585",25-34,M,Group D
Jul-19,SA,Melon,187,"1,521,143",25-34,M,Group E
Jul-19,SA,Melon,829,"61,471",35-44,F,Group A
Jul-19,SA,Melon,156,"129,938",35-44,F,Group B
Jul-19,SA,Melon,"6,177","809,787",35-44,M,Group A
Jul-19,SA,Melon,850,"680,690",35-44,M,Group B
Jul-19,SA,Melon,502,"719,464",35-44,M,Group C
Jul-19,SA,Melon,348,"1,347,696",35-44,M,Group D
Jul-19,SA,Melon,38,"444,520",35-44,M,Group E
Jul-19,SA,Melon,"3,156","382,133",45-54,F,Group A
Jul-19,SA,Melon,104,"59,189",45-54,F,Group B
Jul-19,SA,Melon,"1,584","229,243",45-54,M,Group A
Jul-19,SA,Melon,78,"52,512",45-54,M,Group B
Jul-19,SA,Melon,154,"329,559",45-54,M,Group C
Jul-19,SA,Melon,38,"277,669",45-54,M,Group E
Jul-19,SA,Melon,270,"29,674",55-64,F,Group A
Jul-19,SA,Melon,66,"128,586",55-64,F,Group C
Jul-19,SA,Melon,"2,926","307,144",55-64,M,Group A
Jul-19,SA,Melon,374,"278,031",55-64,M,Group B
Jul-19,SA,Melon,187,"271,897",55-64,M,Group D
Jul-19,SA,Melon,"5,381","609,105",65+,F,Group A
Jul-19,SA,Melon,402,"317,412",65+,F,Group B
Jul-19,SA,Melon,336,"387,244",65+,F,Group C
Jul-19,SA,Melon,66,"28,587",65+,F,Group D
Jul-19,SA,Melon,201,"2,214,560",65+,F,Group E
Jul-19,SA,Melon,"4,607","597,623",65+,M,Group A
Jul-19,SA,Melon,"1,058","926,190",65+,M,Group B
Jul-19,SA,Melon,310,"639,920",65+,M,Group C
Jul-19,SA,Melon,249,"593,963",65+,M,Group D
Jul-19,SA,Melon,125,"575,653",65+,M,Group E
Jul-19,SA,Blueberry,843,"133,451",18-24,F,Group A
Jul-19,SA,Blueberry,294,"144,867",18-24,F,Group B
Jul-19,SA,Blueberry,73,"7,756",18-24,F,Group C
Jul-19,SA,Blueberry,73,"147,076",18-24,F,Group D
Jul-19,SA,Blueberry,504,"96,019",18-24,M,Group A
Jul-19,SA,Blueberry,159,"57,652",18-24,M,Group B
Jul-19,SA,Blueberry,80,"86,788",18-24,M,Group C
Jul-19,SA,Blueberry,133,"433,400",18-24,M,Group D
Jul-19,SA,Blueberry,80,"87,141",18-24,M,Group E
Jul-19,SA,Blueberry,658,"131,727",25-34,F,Group A
Jul-19,SA,Blueberry,73,"48,523",25-34,F,Group B
Jul-19,SA,Blueberry,73,"68,448",25-34,F,Group C
Jul-19,SA,Blueberry,"1,622","216,328",25-34,M,Group A
Jul-19,SA,Blueberry,504,"286,457",25-34,M,Group B
Jul-19,SA,Blueberry,294,"478,339",25-34,M,Group C
Jul-19,SA,Blueberry,187,"422,370",25-34,M,Group D
Jul-19,SA,Blueberry,52,"449,085",25-34,M,Group E
Jul-19,SA,Blueberry,672,"65,881",35-44,F,Group A
Jul-19,SA,Blueberry,52,"126,895",35-44,F,Group C
Jul-19,SA,Blueberry,"1,158","168,271",35-44,M,Group A
Jul-19,SA,Blueberry,232,"165,035",35-44,M,Group B
Jul-19,SA,Blueberry,232,"241,222",35-44,M,Group C
Jul-19,SA,Blueberry,154,"128,759",35-44,M,Group D
Jul-19,SA,Blueberry,38,57,35-44,M,Group E
Jul-19,SA,Blueberry,878,"102,551",45-54,F,Group A
Jul-19,SA,Blueberry,52,"39,409",45-54,F,Group B
Jul-19,SA,Blueberry,52,"148,652",45-54,F,Group C
Jul-19,SA,Blueberry,270,"32,870",45-54,M,Group A
Jul-19,SA,Blueberry,154,"125,238",45-54,M,Group B
Jul-19,SA,Blueberry,78,"135,229",45-54,M,Group D
Jul-19,SA,Blueberry,135,"7,912",55-64,F,Group A
Jul-19,SA,Blueberry,497,"69,028",55-64,M,Group A
Jul-19,SA,Blueberry,62,"44,951",55-64,M,Group B
Jul-19,SA,Blueberry,62,"109,857",55-64,M,Group C
Jul-19,SA,Blueberry,62,"376,262",55-64,M,Group E
Jul-19,SA,Blueberry,"2,422","243,623",65+,F,Group A
Jul-19,SA,Blueberry,672,"597,235",65+,F,Group B
Jul-19,SA,Blueberry,201,"390,705",65+,F,Group C
Jul-19,SA,Blueberry,135,"114,542",65+,F,Group D
Jul-19,SA,Blueberry,66,"2,474",65+,F,Group E
Jul-19,SA,Blueberry,"2,739","469,092",65+,M,Group A
Jul-19,SA,Blueberry,436,"393,930",65+,M,Group B
Jul-19,SA,Blueberry,62,"99,788",65+,M,Group C
Jul-19,SA,Blueberry,249,"945,139",65+,M,Group D
Jul-19,SA,Blueberry,62,"142,083",65+,M,Group E
Jul-19,SA,Grapefruit,147,"16,155",18-24,F,Group A
Jul-19,SA,Grapefruit,73,"21,272",18-24,F,Group B
Jul-19,SA,Grapefruit,107,"8,996",18-24,M,Group A
Jul-19,SA,Grapefruit,26,"29,726",18-24,M,Group C
Jul-19,SA,Grapefruit,26,"113,387",18-24,M,Group D
Jul-19,SA,Grapefruit,80,"13,298",25-34,M,Group A
Jul-19,SA,Grapefruit,52,"29,176",25-34,M,Group B
Jul-19,SA,Grapefruit,26,"13,689",25-34,M,Group C
Jul-19,SA,Grapefruit,26,275,25-34,M,Group E
Jul-19,SA,Grapefruit,116,"10,502",35-44,M,Group A
Jul-19,SA,Grapefruit,38,"68,467",35-44,M,Group C
Jul-19,SA,Grapefruit,38,"27,306",35-44,M,Group D
Jul-19,SA,Grapefruit,52,"3,042",45-54,F,Group A
Jul-19,SA,Grapefruit,270,"45,697",65+,F,Group A
Jul-19,SA,Grapefruit,135,"47,972",65+,F,Group B
Jul-19,SA,Grapefruit,135,"239,863",65+,F,Group C
Jul-19,SA,Grapefruit,125,"6,409",65+,M,Group A
Jul-19,SA,Grapefruit,125,"62,252",65+,M,Group B
Jul-19,QLD,Apple,419,"39,039",18-24,F,Group A
Jul-19,QLD,Apple,173,"80,766",18-24,F,Group B
Jul-19,QLD,Apple,123,"120,894",18-24,F,Group C
Jul-19,QLD,Apple,24,"8,715",18-24,F,Group D
Jul-19,QLD,Apple,24,"213,535",18-24,F,Group E
Jul-19,QLD,Apple,661,"83,569",18-24,M,Group A
Jul-19,QLD,Apple,152,"71,206",18-24,M,Group B
Jul-19,QLD,Apple,189,"309,047",18-24,M,Group C
Jul-19,QLD,Apple,38,"87,698",18-24,M,Group D
Jul-19,QLD,Apple,38,"40,744",18-24,M,Group E
Jul-19,QLD,Apple,173,"27,818",25-34,F,Group A
Jul-19,QLD,Apple,24,"19,539",25-34,F,Group B
Jul-19,QLD,Apple,50,"17,723",25-34,F,Group C
Jul-19,QLD,Apple,24,"116,391",25-34,F,Group D
Jul-19,QLD,Apple,810,"101,474",25-34,M,Group A
Jul-19,QLD,Apple,320,"185,540",25-34,M,Group B
Jul-19,QLD,Apple,95,"102,111",25-34,M,Group C
Jul-19,QLD,Apple,263,"559,057",25-34,M,Group D
Jul-19,QLD,Apple,114,"775,002",25-34,M,Group E
Jul-19,QLD,Apple,414,"57,370",35-44,F,Group A
Jul-19,QLD,Apple,36,"50,680",35-44,F,Group C
Jul-19,QLD,Apple,137,"390,945",35-44,F,Group D
Jul-19,QLD,Apple,104,"1,462,421",35-44,F,Group E
Jul-19,QLD,Apple,663,"124,147",35-44,M,Group A
Jul-19,QLD,Apple,66,"32,453",35-44,M,Group C
Jul-19,QLD,Apple,33,"12,640",35-44,M,Group D
Jul-19,QLD,Apple,33,"107,362",35-44,M,Group E
Jul-19,QLD,Apple,36,"5,069",45-54,F,Group A
Jul-19,QLD,Apple,69,"159,846",45-54,F,Group C
Jul-19,QLD,Apple,66,"4,782",45-54,M,Group A
Jul-19,QLD,Apple,33,"71,005",45-54,M,Group C
Jul-19,QLD,Apple,33,"190,322",45-54,M,Group D
Jul-19,QLD,Apple,45,"33,589",55-64,F,Group B
Jul-19,QLD,Apple,57,"20,256",55-64,M,Group A
Jul-19,QLD,Apple,57,"195,334",55-64,M,Group D
Jul-19,QLD,Apple,57,"323,917",55-64,M,Group E
Jul-19,QLD,Apple,457,"51,056",65+,F,Group A
Jul-19,QLD,Apple,45,"30,164",65+,F,Group B
Jul-19,QLD,Apple,45,"29,560",65+,F,Group C
Jul-19,QLD,Apple,45,672,65+,F,Group D
Jul-19,QLD,Apple,92,"484,779",65+,F,Group E
Jul-19,QLD,Apple,724,"136,372",65+,M,Group A
Jul-19,QLD,Apple,334,"88,154",65+,M,Group B
Jul-19,QLD,Apple,168,"111,606",65+,M,Group C
Jul-19,QLD,Apple,111,"245,602",65+,M,Group D
Jul-19,QLD,Apple,57,"192,711",65+,M,Group E
Jul-19,QLD,Orange,"1,236","138,508",18-24,F,Group A
Jul-19,QLD,Orange,395,"160,224",18-24,F,Group B
Jul-19,QLD,Orange,99,"112,542",18-24,F,Group C
Jul-19,QLD,Orange,123,"253,410",18-24,F,Group D
Jul-19,QLD,Orange,73,"323,280",18-24,F,Group E
Jul-19,QLD,Orange,885,"114,028",18-24,M,Group A
Jul-19,QLD,Orange,414,"289,506",18-24,M,Group B
Jul-19,QLD,Orange,133,"140,388",18-24,M,Group C
Jul-19,QLD,Orange,208,"274,097",18-24,M,Group D
Jul-19,QLD,Orange,114,"1,421,951",18-24,M,Group E
Jul-19,QLD,Orange,642,"58,104",25-34,F,Group A
Jul-19,QLD,Orange,196,"147,151",25-34,F,Group B
Jul-19,QLD,Orange,123,"45,867",25-34,F,Group C
Jul-19,QLD,Orange,24,"3,632",25-34,F,Group D
Jul-19,QLD,Orange,50,"84,977",25-34,F,Group E
Jul-19,QLD,Orange,"2,112","261,428",25-34,M,Group A
Jul-19,QLD,Orange,753,"382,249",25-34,M,Group B
Jul-19,QLD,Orange,282,"357,720",25-34,M,Group C
Jul-19,QLD,Orange,414,"784,841",25-34,M,Group D
Jul-19,QLD,Orange,114,"248,152",25-34,M,Group E
Jul-19,QLD,Orange,"1,241","110,686",35-44,F,Group A
Jul-19,QLD,Orange,104,"41,253",35-44,F,Group C
Jul-19,QLD,Orange,36,"2,786",35-44,F,Group D
Jul-19,QLD,Orange,"2,422","252,688",35-44,M,Group A
Jul-19,QLD,Orange,431,"313,297",35-44,M,Group B
Jul-19,QLD,Orange,431,"525,970",35-44,M,Group C
Jul-19,QLD,Orange,133,"369,273",35-44,M,Group D
Jul-19,QLD,Orange,99,"624,643",35-44,M,Group E
Jul-19,QLD,Orange,137,"11,404",45-54,F,Group A
Jul-19,QLD,Orange,431,"22,595",45-54,M,Group A
Jul-19,QLD,Orange,133,"18,495",45-54,M,Group B
Jul-19,QLD,Orange,33,"131,126",45-54,M,Group D
Jul-19,QLD,Orange,45,"4,368",55-64,F,Group A
Jul-19,QLD,Orange,445,"58,632",55-64,M,Group A
Jul-19,QLD,Orange,223,"94,632",55-64,M,Group B
Jul-19,QLD,Orange,168,"128,747",55-64,M,Group C
Jul-19,QLD,Orange,57,"138,423",55-64,M,Group D
Jul-19,QLD,Orange,"2,403","220,618",65+,F,Group A
Jul-19,QLD,Orange,365,"158,548",65+,F,Group B
Jul-19,QLD,Orange,92,"10,748",65+,F,Group C
Jul-19,QLD,Orange,137,"179,039",65+,F,Group D
Jul-19,QLD,Orange,275,"960,556",65+,F,Group E
Jul-19,QLD,Orange,"2,119","344,909",65+,M,Group A
Jul-19,QLD,Orange,670,"268,481",65+,M,Group B
Jul-19,QLD,Orange,391,"588,461",65+,M,Group C
Jul-19,QLD,Orange,391,"626,677",65+,M,Group D
Jul-19,QLD,Orange,445,"3,139,446",65+,M,Group E
Jul-19,QLD,Pear,"1,013","114,104",18-24,F,Group A
Jul-19,QLD,Pear,296,"159,135",18-24,F,Group B
Jul-19,QLD,Pear,149,"160,951",18-24,F,Group C
Jul-19,QLD,Pear,73,"146,751",18-24,F,Group D
Jul-19,QLD,Pear,24,"217,893",18-24,F,Group E
Jul-19,QLD,Pear,923,"117,106",18-24,M,Group A
Jul-19,QLD,Pear,320,"141,413",18-24,M,Group B
Jul-19,QLD,Pear,208,"178,028",18-24,M,Group C
Jul-19,QLD,Pear,95,"120,127",18-24,M,Group D
Jul-19,QLD,Pear,114,"682,511",18-24,M,Group E
Jul-19,QLD,Pear,840,"100,631",25-34,F,Group A
Jul-19,QLD,Pear,196,"138,290",25-34,F,Group B
Jul-19,QLD,Pear,173,"144,862",25-34,F,Group C
Jul-19,QLD,Pear,50,"198,610",25-34,F,Group E
Jul-19,QLD,Pear,"2,204","336,072",25-34,M,Group A
Jul-19,QLD,Pear,961,"635,974",25-34,M,Group B
Jul-19,QLD,Pear,471,"642,292",25-34,M,Group C
Jul-19,QLD,Pear,339,"731,098",25-34,M,Group D
Jul-19,QLD,Pear,339,"3,288,127",25-34,M,Group E
Jul-19,QLD,Pear,"1,413","157,919",35-44,F,Group A
Jul-19,QLD,Pear,104,"82,660",35-44,F,Group B
Jul-19,QLD,Pear,36,"12,671",35-44,F,Group C
Jul-19,QLD,Pear,69,"175,961",35-44,F,Group D
Jul-19,QLD,Pear,69,"197,905",35-44,F,Group E
Jul-19,QLD,Pear,"2,853","349,751",35-44,M,Group A
Jul-19,QLD,Pear,663,"388,305",35-44,M,Group B
Jul-19,QLD,Pear,630,"598,828",35-44,M,Group C
Jul-19,QLD,Pear,232,"454,965",35-44,M,Group D
Jul-19,QLD,Pear,133,"1,081,658",35-44,M,Group E
Jul-19,QLD,Pear,137,"6,132",45-54,F,Group A
Jul-19,QLD,Pear,630,"100,967",45-54,M,Group A
Jul-19,QLD,Pear,133,"77,300",45-54,M,Group B
Jul-19,QLD,Pear,66,"96,869",45-54,M,Group C
Jul-19,QLD,Pear,92,"10,682",55-64,F,Group A
Jul-19,QLD,Pear,670,"61,092",55-64,M,Group A
Jul-19,QLD,Pear,223,"178,196",55-64,M,Group B
Jul-19,QLD,Pear,57,"4,920",55-64,M,Group C
Jul-19,QLD,Pear,57,"118,905",55-64,M,Group E
Jul-19,QLD,Pear,"2,010","191,937",65+,F,Group A
Jul-19,QLD,Pear,549,"328,650",65+,F,Group B
Jul-19,QLD,Pear,137,"94,255",65+,F,Group C
Jul-19,QLD,Pear,137,"156,062",65+,F,Group E
Jul-19,QLD,Pear,"2,621","347,615",65+,M,Group A
Jul-19,QLD,Pear,559,"413,956",65+,M,Group B
Jul-19,QLD,Pear,279,"262,250",65+,M,Group C
Jul-19,QLD,Pear,111,"276,026",65+,M,Group D
Jul-19,QLD,Pear,168,"11,768,002",65+,M,Group E
Jul-19,QLD,Banana,296,"40,637",18-24,F,Group A
Jul-19,QLD,Banana,196,"95,328",18-24,F,Group B
Jul-19,QLD,Banana,73,"47,754",18-24,F,Group C
Jul-19,QLD,Banana,24,"95,328",18-24,F,Group D
Jul-19,QLD,Banana,24,"31,776",18-24,F,Group E
Jul-19,QLD,Banana,433,"38,057",18-24,M,Group A
Jul-19,QLD,Banana,282,"89,916",18-24,M,Group B
Jul-19,QLD,Banana,189,"71,900",18-24,M,Group C
Jul-19,QLD,Banana,95,"186,730",18-24,M,Group D
Jul-19,QLD,Banana,95,"525,186",18-24,M,Group E
Jul-19,QLD,Banana,296,"22,697",25-34,F,Group A
Jul-19,QLD,Banana,223,"110,944",25-34,F,Group B
Jul-19,QLD,Banana,149,"141,086",25-34,F,Group C
Jul-19,QLD,Banana,50,"93,259",25-34,F,Group D
Jul-19,QLD,Banana,24,"232,164",25-34,F,Group E
Jul-19,QLD,Banana,"1,170","126,114",25-34,M,Group A
Jul-19,QLD,Banana,547,"235,403",25-34,M,Group B
Jul-19,QLD,Banana,227,"192,192",25-34,M,Group C
Jul-19,QLD,Banana,301,"326,621",25-34,M,Group D
Jul-19,QLD,Banana,152,"925,508",25-34,M,Group E
Jul-19,QLD,Banana,656,"77,186",35-44,F,Group A
Jul-19,QLD,Banana,137,"79,061",35-44,F,Group B
Jul-19,QLD,Banana,69,"95,584",35-44,F,Group C
