,months,year,state,brand,customers,value,age_group,gender,vip_band
53,Jul,19,SA,Orange,187,483893,25-34,M,Group D
54,Jul,19,SA,Orange,107,1172460,25-34,M,Group E
55,Jul,19,SA,Orange,258,13769,35-44,F,Group A
56,Jul,19,SA,Orange,52,3042,35-44,F,Group B
57,Jul,19,SA,Orange,734,67046,35-44,M,Group A
58,Jul,19,SA,Orange,78,59496,35-44,M,Group B
59,Jul,19,SA,Orange,154,137274,35-44,M,Group C
60,Jul,19,SA,Orange,154,396435,35-44,M,Group D
61,Jul,19,SA,Orange,38,193023,35-44,M,Group E
62,Jul,19,SA,Orange,620,90150,45-54,F,Group A
63,Jul,19,SA,Orange,104,421312,45-54,F,Group E
64,Jul,19,SA,Orange,78,10218,45-54,M,Group A
65,Jul,19,SA,Orange,38,398,45-54,M,Group B
66,Jul,19,SA,Orange,436,65273,55-64,M,Group A
67,Jul,19,SA,Orange,125,49435,55-64,M,Group B
68,Jul,19,SA,Orange,62,347883,55-64,M,Group D
69,Jul,19,SA,Orange,942,53611,65+,F,Group A
70,Jul,19,SA,Orange,66,4946,65+,F,Group B
71,Jul,19,SA,Orange,66,138181,65+,F,Group C
72,Jul,19,SA,Orange,270,641745,65+,F,Group D
73,Jul,19,SA,Orange,66,6925,65+,F,Group E
74,Jul,19,SA,Orange,1555,120660,65+,M,Group A
75,Jul,19,SA,Orange,62,6409,65+,M,Group B
76,Jul,19,SA,Orange,62,1830,65+,M,Group C
77,Jul,19,SA,Orange,125,140525,65+,M,Group D
78,Jul,19,SA,Orange,62,4576,65+,M,Group E
79,Jul,19,SA,Pear,220,31504,18-24,F,Group A
80,Jul,19,SA,Pear,73,138513,18-24,F,Group C
81,Jul,19,SA,Pear,36,146105,18-24,F,Group D
82,Jul,19,SA,Pear,452,41262,18-24,M,Group A
83,Jul,19,SA,Pear,159,23310,18-24,M,Group B
84,Jul,19,SA,Pear,52,56790,18-24,M,Group C
85,Jul,19,SA,Pear,107,136266,18-24,M,Group D
86,Jul,19,SA,Pear,26,3911,18-24,M,Group E
87,Jul,19,SA,Pear,294,12548,25-34,F,Group A
88,Jul,19,SA,Pear,73,87243,25-34,F,Group B
89,Jul,19,SA,Pear,36,22081,25-34,F,Group C
90,Jul,19,SA,Pear,36,154183,25-34,F,Group E
91,Jul,19,SA,Pear,772,127622,25-34,M,Group A
92,Jul,19,SA,Pear,346,185000,25-34,M,Group B
93,Jul,19,SA,Pear,239,305543,25-34,M,Group C
94,Jul,19,SA,Pear,239,550149,25-34,M,Group D
95,Jul,19,SA,Pear,80,249653,25-34,M,Group E
96,Jul,19,SA,Pear,206,11868,35-44,F,Group A
97,Jul,19,SA,Pear,52,62764,35-44,F,Group B
98,Jul,19,SA,Pear,52,85815,35-44,F,Group C
99,Jul,19,SA,Pear,1042,129040,35-44,M,Group A
100,Jul,19,SA,Pear,116,66140,35-44,M,Group B
101,Jul,19,SA,Pear,194,121434,35-44,M,Group C
102,Jul,19,SA,Pear,154,427659,35-44,M,Group D
103,Jul,19,SA,Pear,38,271537,35-44,M,Group E
104,Jul,19,SA,Pear,206,43365,45-54,F,Group A
105,Jul,19,SA,Pear,502,77664,45-54,M,Group A
106,Jul,19,SA,Pear,78,83228,45-54,M,Group C
107,Jul,19,SA,Pear,310,41655,55-64,M,Group A
108,Jul,19,SA,Pear,374,50808,55-64,M,Group B
109,Jul,19,SA,Pear,62,105738,55-64,M,Group C
110,Jul,19,SA,Pear,62,308974,55-64,M,Group D
111,Jul,19,SA,Pear,672,119784,65+,F,Group A
112,Jul,19,SA,Pear,201,63107,65+,F,Group B
113,Jul,19,SA,Pear,66,4946,65+,F,Group C
114,Jul,19,SA,Pear,270,648275,65+,F,Group D
115,Jul,19,SA,Pear,66,40159,65+,F,Group E
116,Jul,19,SA,Pear,249,40282,65+,M,Group A
117,Jul,19,SA,Pear,187,198932,65+,M,Group B
118,Jul,19,SA,Pear,62,916,65+,M,Group C
119,Jul,19,SA,Pear,125,184377,65+,M,Group D
120,Jul,19,SA,Pear,249,1316825,65+,M,Group E
121,Jul,19,SA,Banana,147,32259,18-24,F,Group A
122,Jul,19,SA,Banana,109,43244,18-24,F,Group B
123,Jul,19,SA,Banana,36,24233,18-24,F,Group C
124,Jul,19,SA,Banana,73,109646,18-24,F,Group D
125,Jul,19,SA,Banana,239,13416,18-24,M,Group A
126,Jul,19,SA,Banana,26,2933,18-24,M,Group B
127,Jul,19,SA,Banana,107,104741,18-24,M,Group C
128,Jul,19,SA,Banana,52,60036,18-24,M,Group D
129,Jul,19,SA,Banana,26,104741,18-24,M,Group E
130,Jul,19,SA,Banana,73,4309,25-34,F,Group A
131,Jul,19,SA,Banana,36,79004,25-34,F,Group E
132,Jul,19,SA,Banana,400,62070,25-34,M,Group A
133,Jul,19,SA,Banana,213,85617,25-34,M,Group B
134,Jul,19,SA,Banana,80,70832,25-34,M,Group C
135,Jul,19,SA,Banana,52,3911,25-34,M,Group D
136,Jul,19,SA,Banana,80,2253046,25-34,M,Group E
137,Jul,19,SA,Banana,104,7988,35-44,F,Group A
138,Jul,19,SA,Banana,232,43147,35-44,M,Group A
139,Jul,19,SA,Banana,78,1986,35-44,M,Group B
140,Jul,19,SA,Banana,38,21345,35-44,M,Group C
141,Jul,19,SA,Banana,78,204946,35-44,M,Group D
142,Jul,19,SA,Banana,78,297596,35-44,M,Group E
143,Jul,19,SA,Banana,52,760,45-54,F,Group A
144,Jul,19,SA,Banana,52,169195,45-54,F,Group D
145,Jul,19,SA,Banana,52,380383,45-54,F,Group E
146,Jul,19,SA,Banana,116,32418,45-54,M,Group A
147,Jul,19,SA,Banana,78,130290,45-54,M,Group C
148,Jul,19,SA,Banana,78,113202,45-54,M,Group D
149,Jul,19,SA,Banana,125,49435,55-64,M,Group B
150,Jul,19,SA,Banana,62,149772,55-64,M,Group C
151,Jul,19,SA,Banana,336,42335,65+,F,Group A
152,Jul,19,SA,Banana,270,127499,65+,F,Group B
153,Jul,19,SA,Banana,436,45865,65+,M,Group A
154,Jul,19,SA,Banana,125,52091,65+,M,Group B
155,Jul,19,SA,Banana,62,10528,65+,M,Group C
156,Jul,19,SA,Banana,125,64998,65+,M,Group E
157,Jul,19,SA,Strawberry,36,1399,18-24,F,Group C
158,Jul,19,SA,Strawberry,109,194467,18-24,F,Group D
159,Jul,19,SA,Strawberry,52,9818,18-24,M,Group A
160,Jul,19,SA,Strawberry,52,13101,18-24,M,Group B
161,Jul,19,SA,Strawberry,80,75839,18-24,M,Group C
162,Jul,19,SA,Strawberry,52,18343,18-24,M,Group D
163,Jul,19,SA,Strawberry,26,391,18-24,M,Group E
164,Jul,19,SA,Strawberry,36,2746,25-34,F,Group B
165,Jul,19,SA,Strawberry,36,42437,25-34,F,Group C
166,Jul,19,SA,Strawberry,80,8606,25-34,M,Group A
167,Jul,19,SA,Strawberry,159,78538,25-34,M,Group B
168,Jul,19,SA,Strawberry,80,86085,25-34,M,Group C
169,Jul,19,SA,Strawberry,80,52605,25-34,M,Group D
170,Jul,19,SA,Strawberry,52,236198,25-34,M,Group E
171,Jul,19,SA,Strawberry,194,21913,35-44,M,Group A
172,Jul,19,SA,Strawberry,38,41783,35-44,M,Group B
173,Jul,19,SA,Strawberry,78,84703,35-44,M,Group C
174,Jul,19,SA,Strawberry,38,299128,35-44,M,Group E
175,Jul,19,SA,Strawberry,38,2043,45-54,M,Group C
176,Jul,19,SA,Strawberry,38,52231,45-54,M,Group D
177,Jul,19,SA,Strawberry,187,55569,55-64,M,Group A
178,Jul,19,SA,Strawberry,66,3956,65+,F,Group A
179,Jul,19,SA,Strawberry,187,132378,65+,M,Group B
180,Jul,19,SA,Melon,2453,253005,18-24,F,Group A
181,Jul,19,SA,Melon,329,196889,18-24,F,Group B
182,Jul,19,SA,Melon,147,201307,18-24,F,Group C
183,Jul,19,SA,Melon,220,476606,18-24,F,Group D
184,Jul,19,SA,Melon,2607,386974,18-24,M,Group A
185,Jul,19,SA,Melon,478,370781,18-24,M,Group B
186,Jul,19,SA,Melon,213,302923,18-24,M,Group C
187,Jul,19,SA,Melon,133,366127,18-24,M,Group D
188,Jul,19,SA,Melon,107,566067,18-24,M,Group E
189,Jul,19,SA,Melon,2197,238519,25-34,F,Group A
190,Jul,19,SA,Melon,109,87889,25-34,F,Group B
191,Jul,19,SA,Melon,73,60048,25-34,F,Group C
192,Jul,19,SA,Melon,36,140236,25-34,F,Group D
193,Jul,19,SA,Melon,36,288010,25-34,F,Group E
194,Jul,19,SA,Melon,5000,632754,25-34,M,Group A
195,Jul,19,SA,Melon,904,669755,25-34,M,Group B
196,Jul,19,SA,Melon,639,939588,25-34,M,Group C
197,Jul,19,SA,Melon,426,1154585,25-34,M,Group D
198,Jul,19,SA,Melon,187,1521143,25-34,M,Group E
199,Jul,19,SA,Melon,829,61471,35-44,F,Group A
200,Jul,19,SA,Melon,156,129938,35-44,F,Group B
201,Jul,19,SA,Melon,6177,809787,35-44,M,Group A
202,Jul,19,SA,Melon,850,680690,35-44,M,Group B
203,Jul,19,SA,Melon,502,719464,35-44,M,Group C
204,Jul,19,SA,Melon,348,1347696,35-44,M,Group D
205,Jul,19,SA,Melon,38,444520,35-44,M,Group E
206,Jul,19,SA,Melon,3156,382133,45-54,F,Group A
207,Jul,19,SA,Melon,104,59189,45-54,F,Group B
208,Jul,19,SA,Melon,1584,229243,45-54,M,Group A
209,Jul,19,SA,Melon,78,52512,45-54,M,Group B
210,Jul,19,SA,Melon,154,329559,45-54,M,Group C
211,Jul,19,SA,Melon,38,277669,45-54,M,Group E
212,Jul,19,SA,Melon,270,29674,55-64,F,Group A
213,Jul,19,SA,Melon,66,128586,55-64,F,Group C
214,Jul,19,SA,Melon,2926,307144,55-64,M,Group A
215,Jul,19,SA,Melon,374,278031,55-64,M,Group B
216,Jul,19,SA,Melon,187,271897,55-64,M,Group D
217,Jul,19,SA,Melon,5381,609105,65+,F,Group A
218,Jul,19,SA,Melon,402,317412,65+,F,Group B
219,Jul,19,SA,Melon,336,387244,65+,F,Group C
220,Jul,19,SA,Melon,66,28587,65+,F,Group D
221,Jul,19,SA,Melon,201,2214560,65+,F,Group E
222,Jul,19,SA,Melon,4607,597623,65+,M,Group A
223,Jul,19,SA,Melon,1058,926190,65+,M,Group B
224,Jul,19,SA,Melon,310,639920,65+,M,Group C
225,Jul,19,SA,Melon,249,593963,65+,M,Group D
226,Jul,19,SA,Melon,125,575653,65+,M,Group E
227,Jul,19,SA,Blueberry,843,133451,18-24,F,Group A
228,Jul,19,SA,Blueberry,294,144867,18-24,F,Group B
229,Jul,19,SA,Blueberry,73,7756,18-24,F,Group C
230,Jul,19,SA,Blueberry,73,147076,18-24,F,Group D
231,Jul,19,SA,Blueberry,504,96019,18-24,M,Group A
232,Jul,19,SA,Blueberry,159,57652,18-24,M,Group B
233,Jul,19,SA,Blueberry,80,86788,18-24,M,Group C
234,Jul,19,SA,Blueberry,133,433400,18-24,M,Group D
235,Jul,19,SA,Blueberry,80,87141,18-24,M,Group E
236,Jul,19,SA,Blueberry,658,131727,25-34,F,Group A
237,Jul,19,SA,Blueberry,73,48523,25-34,F,Group B
238,Jul,19,SA,Blueberry,73,68448,25-34,F,Group C
239,Jul,19,SA,Blueberry,1622,216328,25-34,M,Group A
240,Jul,19,SA,Blueberry,504,286457,25-34,M,Group B
241,Jul,19,SA,Blueberry,294,478339,25-34,M,Group C
242,Jul,19,SA,Blueberry,187,422370,25-34,M,Group D
243,Jul,19,SA,Blueberry,52,449085,25-34,M,Group E
244,Jul,19,SA,Blueberry,672,65881,35-44,F,Group A
245,Jul,19,SA,Blueberry,52,126895,35-44,F,Group C
246,Jul,19,SA,Blueberry,1158,168271,35-44,M,Group A
247,Jul,19,SA,Blueberry,232,165035,35-44,M,Group B
248,Jul,19,SA,Blueberry,232,241222,35-44,M,Group C
249,Jul,19,SA,Blueberry,154,128759,35-44,M,Group D
250,Jul,19,SA,Blueberry,38,57,35-44,M,Group E
251,Jul,19,SA,Blueberry,878,102551,45-54,F,Group A
252,Jul,19,SA,Blueberry,52,39409,45-54,F,Group B
253,Jul,19,SA,Blueberry,52,148652,45-54,F,Group C
254,Jul,19,SA,Blueberry,270,32870,45-54,M,Group A
255,Jul,19,SA,Blueberry,154,125238,45-54,M,Group B
256,Jul,19,SA,Blueberry,78,135229,45-54,M,Group D
257,Jul,19,SA,Blueberry,135,7912,55-64,F,Group A
258,Jul,19,SA,Blueberry,497,69028,55-64,M,Group A
259,Jul,19,SA,Blueberry,62,44951,55-64,M,Group B
260,Jul,19,SA,Blueberry,62,109857,55-64,M,Group C
261,Jul,19,SA,Blueberry,62,376262,55-64,M,Group E
262,Jul,19,SA,Blueberry,2422,243623,65+,F,Group A
263,Jul,19,SA,Blueberry,672,597235,65+,F,Group B
264,Jul,19,SA,Blueberry,201,390705,65+,F,Group C
265,Jul,19,SA,Blueberry,135,114542,65+,F,Group D
266,Jul,19,SA,Blueberry,66,2474,65+,F,Group E
267,Jul,19,SA,Blueberry,2739,469092,65+,M,Group A
268,Jul,19,SA,Blueberry,436,393930,65+,M,Group B
269,Jul,19,SA,Blueberry,62,99788,65+,M,Group C
270,Jul,19,SA,Blueberry,249,945139,65+,M,Group D
271,Jul,19,SA,Blueberry,62,142083,65+,M,Group E
272,Jul,19,SA,Grapefruit,147,16155,18-24,F,Group A
273,Jul,19,SA,Grapefruit,73,21272,18-24,F,Group B
274,Jul,19,SA,Grapefruit,107,8996,18-24,M,Group A
275,Jul,19,SA,Grapefruit,26,29726,18-24,M,Group C
276,Jul,19,SA,Grapefruit,26,113387,18-24,M,Group D
277,Jul,19,SA,Grapefruit,80,13298,25-34,M,Group A
278,Jul,19,SA,Grapefruit,52,29176,25-34,M,Group B
279,Jul,19,SA,Grapefruit,26,13689,25-34,M,Group C
280,Jul,19,SA,Grapefruit,26,275,25-34,M,Group E
281,Jul,19,SA,Grapefruit,116,10502,35-44,M,Group A
282,Jul,19,SA,Grapefruit,38,68467,35-44,M,Group C
283,Jul,19,SA,Grapefruit,38,27306,35-44,M,Group D
284,Jul,19,SA,Grapefruit,52,3042,45-54,F,Group A
285,Jul,19,SA,Grapefruit,270,45697,65+,F,Group A
286,Jul,19,SA,Grapefruit,135,47972,65+,F,Group B
287,Jul,19,SA,Grapefruit,135,239863,65+,F,Group C
288,Jul,19,SA,Grapefruit,125,6409,65+,M,Group A
289,Jul,19,SA,Grapefruit,125,62252,65+,M,Group B
290,Jul,19,QLD,Apple,419,39039,18-24,F,Group A
291,Jul,19,QLD,Apple,173,80766,18-24,F,Group B
292,Jul,19,QLD,Apple,123,120894,18-24,F,Group C
293,Jul,19,QLD,Apple,24,8715,18-24,F,Group D
294,Jul,19,QLD,Apple,24,213535,18-24,F,Group E
295,Jul,19,QLD,Apple,661,83569,18-24,M,Group A
296,Jul,19,QLD,Apple,152,71206,18-24,M,Group B
297,Jul,19,QLD,Apple,189,309047,18-24,M,Group C
298,Jul,19,QLD,Apple,38,87698,18-24,M,Group D
299,Jul,19,QLD,Apple,38,40744,18-24,M,Group E
300,Jul,19,QLD,Apple,173,27818,25-34,F,Group A
301,Jul,19,QLD,Apple,24,19539,25-34,F,Group B
302,Jul,19,QLD,Apple,50,17723,25-34,F,Group C
303,Jul,19,QLD,Apple,24,116391,25-34,F,Group D
304,Jul,19,QLD,Apple,810,101474,25-34,M,Group A
305,Jul,19,QLD,Apple,320,185540,25-34,M,Group B
306,Jul,19,QLD,Apple,95,102111,25-34,M,Group C
307,Jul,19,QLD,Apple,263,559057,25-34,M,Group D
308,Jul,19,QLD,Apple,114,775002,25-34,M,Group E
309,Jul,19,QLD,Apple,414,57370,35-44,F,Group A
310,Jul,19,QLD,Apple,36,50680,35-44,F,Group C
311,Jul,19,QLD,Apple,137,390945,35-44,F,Group D
312,Jul,19,QLD,Apple,104,1462421,35-44,F,Group E
313,Jul,19,QLD,Apple,663,124147,35-44,M,Group A
314,Jul,19,QLD,Apple,66,32453,35-44,M,Group C
315,Jul,19,QLD,Apple,33,12640,35-44,M,Group D
316,Jul,19,QLD,Apple,33,107362,35-44,M,Group E
317,Jul,19,QLD,Apple,36,5069,45-54,F,Group A
318,Jul,19,QLD,Apple,69,159846,45-54,F,Group C
319,Jul,19,QLD,Apple,66,4782,45-54,M,Group A
320,Jul,19,QLD,Apple,33,71005,45-54,M,Group C
321,Jul,19,QLD,Apple,33,190322,45-54,M,Group D
322,Jul,19,QLD,Apple,45,33589,55-64,F,Group B
323,Jul,19,QLD,Apple,57,20256,55-64,M,Group A
324,Jul,19,QLD,Apple,57,195334,55-64,M,Group D
325,Jul,19,QLD,Apple,57,323917,55-64,M,Group E
326,Jul,19,QLD,Apple,457,51056,65+,F,Group A
327,Jul,19,QLD,Apple,45,30164,65+,F,Group B
328,Jul,19,QLD,Apple,45,29560,65+,F,Group C
329,Jul,19,QLD,Apple,45,672,65+,F,Group D
330,Jul,19,QLD,Apple,92,484779,65+,F,Group E
331,Jul,19,QLD,Apple,724,136372,65+,M,Group A
332,Jul,19,QLD,Apple,334,88154,65+,M,Group B
333,Jul,19,QLD,Apple,168,111606,65+,M,Group C
334,Jul,19,QLD,Apple,111,245602,65+,M,Group D
335,Jul,19,QLD,Apple,57,192711,65+,M,Group E
336,Jul,19,QLD,Orange,1236,138508,18-24,F,Group A
337,Jul,19,QLD,Orange,395,160224,18-24,F,Group B
338,Jul,19,QLD,Orange,99,112542,18-24,F,Group C
339,Jul,19,QLD,Orange,123,253410,18-24,F,Group D
340,Jul,19,QLD,Orange,73,323280,18-24,F,Group E
341,Jul,19,QLD,Orange,885,114028,18-24,M,Group A
342,Jul,19,QLD,Orange,414,289506,18-24,M,Group B
343,Jul,19,QLD,Orange,133,140388,18-24,M,Group C
344,Jul,19,QLD,Orange,208,274097,18-24,M,Group D
345,Jul,19,QLD,Orange,114,1421951,18-24,M,Group E
346,Jul,19,QLD,Orange,642,58104,25-34,F,Group A
347,Jul,19,QLD,Orange,196,147151,25-34,F,Group B
348,Jul,19,QLD,Orange,123,45867,25-34,F,Group C
349,Jul,19,QLD,Orange,24,3632,25-34,F,Group D
350,Jul,19,QLD,Orange,50,84977,25-34,F,Group E
351,Jul,19,QLD,Orange,2112,261428,25-34,M,Group A
352,Jul,19,QLD,Orange,753,382249,25-34,M,Group B
353,Jul,19,QLD,Orange,282,357720,25-34,M,Group C
354,Jul,19,QLD,Orange,414,784841,25-34,M,Group D
355,Jul,19,QLD,Orange,114,248152,25-34,M,Group E
356,Jul,19,QLD,Orange,1241,110686,35-44,F,Group A
357,Jul,19,QLD,Orange,104,41253,35-44,F,Group C
358,Jul,19,QLD,Orange,36,2786,35-44,F,Group D
359,Jul,19,QLD,Orange,2422,252688,35-44,M,Group A
360,Jul,19,QLD,Orange,431,313297,35-44,M,Group B
361,Jul,19,QLD,Orange,431,525970,35-44,M,Group C
362,Jul,19,QLD,Orange,133,369273,35-44,M,Group D
363,Jul,19,QLD,Orange,99,624643,35-44,M,Group E
364,Jul,19,QLD,Orange,137,11404,45-54,F,Group A
365,Jul,19,QLD,Orange,431,22595,45-54,M,Group A
366,Jul,19,QLD,Orange,133,18495,45-54,M,Group B
367,Jul,19,QLD,Orange,33,131126,45-54,M,Group D
368,Jul,19,QLD,Orange,45,4368,55-64,F,Group A
369,Jul,19,QLD,Orange,445,58632,55-64,M,Group A
370,Jul,19,QLD,Orange,223,94632,55-64,M,Group B
371,Jul,19,QLD,Orange,168,128747,55-64,M,Group C
372,Jul,19,QLD,Orange,57,138423,55-64,M,Group D
373,Jul,19,QLD,Orange,2403,220618,65+,F,Group A
374,Jul,19,QLD,Orange,365,158548,65+,F,Group B
375,Jul,19,QLD,Orange,92,10748,65+,F,Group C
376,Jul,19,QLD,Orange,137,179039,65+,F,Group D
377,Jul,19,QLD,Orange,275,960556,65+,F,Group E
378,Jul,19,QLD,Orange,2119,344909,65+,M,Group A
379,Jul,19,QLD,Orange,670,268481,65+,M,Group B
380,Jul,19,QLD,Orange,391,588461,65+,M,Group C
381,Jul,19,QLD,Orange,391,626677,65+,M,Group D
382,Jul,19,QLD,Orange,445,3139446,65+,M,Group E
383,Jul,19,QLD,Pear,1013,114104,18-24,F,Group A
384,Jul,19,QLD,Pear,296,159135,18-24,F,Group B
385,Jul,19,QLD,Pear,149,160951,18-24,F,Group C
386,Jul,19,QLD,Pear,73,146751,18-24,F,Group D
387,Jul,19,QLD,Pear,24,217893,18-24,F,Group E
388,Jul,19,QLD,Pear,923,117106,18-24,M,Group A
389,Jul,19,QLD,Pear,320,141413,18-24,M,Group B
390,Jul,19,QLD,Pear,208,178028,18-24,M,Group C
391,Jul,19,QLD,Pear,95,120127,18-24,M,Group D
392,Jul,19,QLD,Pear,114,682511,18-24,M,Group E
393,Jul,19,QLD,Pear,840,100631,25-34,F,Group A
394,Jul,19,QLD,Pear,196,138290,25-34,F,Group B
395,Jul,19,QLD,Pear,173,144862,25-34,F,Group C
396,Jul,19,QLD,Pear,50,198610,25-34,F,Group E
397,Jul,19,QLD,Pear,2204,336072,25-34,M,Group A
398,Jul,19,QLD,Pear,961,635974,25-34,M,Group B
399,Jul,19,QLD,Pear,471,642292,25-34,M,Group C
400,Jul,19,QLD,Pear,339,731098,25-34,M,Group D
401,Jul,19,QLD,Pear,339,3288127,25-34,M,Group E
402,Jul,19,QLD,Pear,1413,157919,35-44,F,Group A
403,Jul,19,QLD,Pear,104,82660,35-44,F,Group B
404,Jul,19,QLD,Pear,36,12671,35-44,F,Group C
405,Jul,19,QLD,Pear,69,175961,35-44,F,Group D
406,Jul,19,QLD,Pear,69,197905,35-44,F,Group E
407,Jul,19,QLD,Pear,2853,349751,35-44,M,Group A
408,Jul,19,QLD,Pear,663,388305,35-44,M,Group B
409,Jul,19,QLD,Pear,630,598828,35-44,M,Group C
410,Jul,19,QLD,Pear,232,454965,35-44,M,Group D
411,Jul,19,QLD,Pear,133,1081658,35-44,M,Group E
412,Jul,19,QLD,Pear,137,6132,45-54,F,Group A
413,Jul,19,QLD,Pear,630,100967,45-54,M,Group A
414,Jul,19,QLD,Pear,133,77300,45-54,M,Group B
415,Jul,19,QLD,Pear,66,96869,45-54,M,Group C
416,Jul,19,QLD,Pear,92,10682,55-64,F,Group A
417,Jul,19,QLD,Pear,670,61092,55-64,M,Group A
418,Jul,19,QLD,Pear,223,178196,55-64,M,Group B
419,Jul,19,QLD,Pear,57,4920,55-64,M,Group C
420,Jul,19,QLD,Pear,57,118905,55-64,M,Group E
421,Jul,19,QLD,Pear,2010,191937,65+,F,Group A
422,Jul,19,QLD,Pear,549,328650,65+,F,Group B
423,Jul,19,QLD,Pear,137,94255,65+,F,Group C
424,Jul,19,QLD,Pear,137,156062,65+,F,Group E
425,Jul,19,QLD,Pear,2621,347615,65+,M,Group A
426,Jul,19,QLD,Pear,559,413956,65+,M,Group B
427,Jul,19,QLD,Pear,279,262250,65+,M,Group C
428,Jul,19,QLD,Pear,111,276026,65+,M,Group D
429,Jul,19,QLD,Pear,168,11768002,65+,M,Group E
430,Jul,19,QLD,Banana,296,40637,18-24,F,Group A
431,Jul,19,QLD,Banana,196,95328,18-24,F,Group B
432,Jul,19,QLD,Banana,73,47754,18-24,F,Group C
433,Jul,19,QLD,Banana,24,95328,18-24,F,Group D
434,Jul,19,QLD,Banana,24,31776,18-24,F,Group E
435,Jul,19,QLD,Banana,433,38057,18-24,M,Group A
436,Jul,19,QLD,Banana,282,89916,18-24,M,Group B
437,Jul,19,QLD,Banana,189,71900,18-24,M,Group C
438,Jul,19,QLD,Banana,95,186730,18-24,M,Group D
439,Jul,19,QLD,Banana,95,525186,18-24,M,Group E
440,Jul,19,QLD,Banana,296,22697,25-34,F,Group A
441,Jul,19,QLD,Banana,223,110944,25-34,F,Group B
442,Jul,19,QLD,Banana,149,141086,25-34,F,Group C
443,Jul,19,QLD,Banana,50,93259,25-34,F,Group D
444,Jul,19,QLD,Banana,24,232164,25-34,F,Group E
445,Jul,19,QLD,Banana,1170,126114,25-34,M,Group A
446,Jul,19,QLD,Banana,547,235403,25-34,M,Group B
447,Jul,19,QLD,Banana,227,192192,25-34,M,Group C
448,Jul,19,QLD,Banana,301,326621,25-34,M,Group D
449,Jul,19,QLD,Banana,152,925508,25-34,M,Group E
450,Jul,19,QLD,Banana,656,77186,35-44,F,Group A
451,Jul,19,QLD,Banana,137,79061,35-44,F,Group B
452,Jul,19,QLD,Banana,69,95584,35-44,F,Group C
453,Jul,19,QLD,Banana,69,122494,35-44,F,Group D
